datetime,symbol,open,high,low,close,volume
2022-11-28 14:30:00,NASDAQ:MSFT,246.2,246.64,245.4,245.9,39591.0
2022-11-28 14:35:00,NASDAQ:MSFT,245.88,246.21,245.56,245.64,22125.0
2022-11-28 14:40:00,NASDAQ:MSFT,245.64,246.045,245.26,245.44,21028.0
2022-11-28 14:45:00,NASDAQ:MSFT,245.44,245.53,244.95,245.41,19385.0
2022-11-28 14:50:00,NASDAQ:MSFT,245.41,245.54,245.075,245.21,18818.0
2022-11-28 14:55:00,NASDAQ:MSFT,245.21,245.22,244.65,244.96,16732.0
2022-11-28 15:00:00,NASDAQ:MSFT,244.9,245.17,244.66,245.16,10861.0
2022-11-28 15:05:00,NASDAQ:MSFT,245.13,245.2,244.21,244.57,13157.0
2022-11-28 15:10:00,NASDAQ:MSFT,244.62,244.65,244.04,244.36,14964.0
2022-11-28 15:15:00,NASDAQ:MSFT,244.34,244.36,243.92,244.08,13505.0
2022-11-28 15:20:00,NASDAQ:MSFT,244.09,244.18,243.09,243.09,35224.0
2022-11-28 15:25:00,NASDAQ:MSFT,243.07,243.2,242.65,243.06,28695.0
2022-11-28 15:30:00,NASDAQ:MSFT,243.04,243.13,242.75,242.8,14720.0
2022-11-28 15:35:00,NASDAQ:MSFT,242.77,243.37,242.72,243.24,25108.0
2022-11-28 15:40:00,NASDAQ:MSFT,243.28,243.56,243.23,243.23,14882.0
2022-11-28 15:45:00,NASDAQ:MSFT,243.23,243.46,243.13,243.2,13823.0
2022-11-28 15:50:00,NASDAQ:MSFT,243.2,243.35,242.77,243.04,17567.0
2022-11-28 15:55:00,NASDAQ:MSFT,243.0,243.23,242.95,242.99,14687.0
2022-11-28 16:00:00,NASDAQ:MSFT,243.0,243.23,242.88,242.91,10565.0
2022-11-28 16:05:00,NASDAQ:MSFT,242.91,243.04,242.41,242.73,12936.0
2022-11-28 16:10:00,NASDAQ:MSFT,242.72,242.82,242.33,242.6,24561.0
2022-11-28 16:15:00,NASDAQ:MSFT,242.64,242.88,242.53,242.675,16483.0
2022-11-28 16:20:00,NASDAQ:MSFT,242.71,243.255,242.67,243.16,15772.0
2022-11-28 16:25:00,NASDAQ:MSFT,243.15,243.34,242.815,242.93,12587.0
2022-11-28 16:30:00,NASDAQ:MSFT,242.915,243.01,242.66,242.73,11065.0
2022-11-28 16:35:00,NASDAQ:MSFT,242.73,243.085,242.58,243.085,12436.0
2022-11-28 16:40:00,NASDAQ:MSFT,243.08,243.29,242.975,243.04,11592.0
2022-11-28 16:45:00,NASDAQ:MSFT,243.06,243.19,242.79,243.08,11484.0
2022-11-28 16:50:00,NASDAQ:MSFT,243.07,243.28,242.94,243.25,10506.0
2022-11-28 16:55:00,NASDAQ:MSFT,243.31,243.31,243.11,243.11,10662.0
2022-11-28 17:00:00,NASDAQ:MSFT,243.1,243.36,242.24,242.8,24082.0
2022-11-28 17:05:00,NASDAQ:MSFT,242.8,243.66,242.21,242.21,22901.0
2022-11-28 17:10:00,NASDAQ:MSFT,242.22,242.43,242.11,242.37,13201.0
2022-11-28 17:15:00,NASDAQ:MSFT,242.37,243.0,242.26,242.91,13409.0
2022-11-28 17:20:00,NASDAQ:MSFT,242.91,243.1,242.81,242.83,7455.0
2022-11-28 17:25:00,NASDAQ:MSFT,242.84,243.05,242.775,242.82,5370.0
2022-11-28 17:30:00,NASDAQ:MSFT,242.81,243.07,242.78,242.96,6406.0
2022-11-28 17:35:00,NASDAQ:MSFT,242.94,243.34,242.94,243.23,8518.0
2022-11-28 17:40:00,NASDAQ:MSFT,243.24,243.31,242.95,242.97,7441.0
2022-11-28 17:45:00,NASDAQ:MSFT,242.96,243.02,242.74,242.75,8417.0
2022-11-28 17:50:00,NASDAQ:MSFT,242.74,242.75,241.99,242.06,21604.0
2022-11-28 17:55:00,NASDAQ:MSFT,242.05,242.13,241.98,242.04,11819.0
2022-11-28 18:00:00,NASDAQ:MSFT,242.03,242.14,241.99,242.13,7377.0
2022-11-28 18:05:00,NASDAQ:MSFT,242.13,242.26,242.1,242.1,6059.0
2022-11-28 18:10:00,NASDAQ:MSFT,242.15,242.34,242.0,242.26,16021.0
2022-11-28 18:15:00,NASDAQ:MSFT,242.25,242.33,242.14,242.31,7792.0
2022-11-28 18:20:00,NASDAQ:MSFT,242.31,242.4,242.27,242.39,8462.0
2022-11-28 18:25:00,NASDAQ:MSFT,242.37,242.54,242.36,242.44,6782.0
2022-11-28 18:30:00,NASDAQ:MSFT,242.43,242.48,242.29,242.34,5937.0
2022-11-28 18:35:00,NASDAQ:MSFT,242.33,242.55,242.32,242.46,7196.0
2022-11-28 18:40:00,NASDAQ:MSFT,242.42,242.46,242.24,242.3,9361.0
2022-11-28 18:45:00,NASDAQ:MSFT,242.29,242.34,242.21,242.21,11036.0
2022-11-28 18:50:00,NASDAQ:MSFT,242.21,242.22,241.985,242.07,8542.0
2022-11-28 18:55:00,NASDAQ:MSFT,242.04,242.1,241.46,241.62,11167.0
2022-11-28 19:00:00,NASDAQ:MSFT,241.59,241.72,241.37,241.37,6118.0
2022-11-28 19:05:00,NASDAQ:MSFT,241.47,241.52,241.31,241.31,6726.0
2022-11-28 19:10:00,NASDAQ:MSFT,241.3,241.3,241.06,241.1,4634.0
2022-11-28 19:15:00,NASDAQ:MSFT,241.11,241.22,241.06,241.16,3959.0
2022-11-28 19:20:00,NASDAQ:MSFT,241.14,241.14,240.82,240.99,8482.0
2022-11-28 19:25:00,NASDAQ:MSFT,240.97,241.06,240.95,240.95,5609.0
2022-11-28 19:30:00,NASDAQ:MSFT,240.94,241.29,240.92,241.23,7752.0
2022-11-28 19:35:00,NASDAQ:MSFT,241.245,241.33,241.18,241.25,6103.0
2022-11-28 19:40:00,NASDAQ:MSFT,241.25,241.5,241.2,241.48,7320.0
2022-11-28 19:45:00,NASDAQ:MSFT,241.46,241.65,241.38,241.59,5487.0
2022-11-28 19:50:00,NASDAQ:MSFT,241.6,241.74,241.56,241.69,6085.0
2022-11-28 19:55:00,NASDAQ:MSFT,241.71,241.71,241.45,241.62,6460.0
2022-11-28 20:00:00,NASDAQ:MSFT,241.61,241.62,241.35,241.55,12574.0
2022-11-28 20:05:00,NASDAQ:MSFT,241.5,241.55,241.4,241.4,9169.0
2022-11-28 20:10:00,NASDAQ:MSFT,241.38,241.44,241.17,241.19,8063.0
2022-11-28 20:15:00,NASDAQ:MSFT,241.18,241.31,241.07,241.27,8157.0
2022-11-28 20:20:00,NASDAQ:MSFT,241.34,241.43,241.0,241.0,7330.0
2022-11-28 20:25:00,NASDAQ:MSFT,240.99,241.01,240.84,240.88,10266.0
2022-11-28 20:30:00,NASDAQ:MSFT,240.865,241.06,240.82,240.92,17365.0
2022-11-28 20:35:00,NASDAQ:MSFT,240.92,241.38,240.92,241.13,21471.0
2022-11-28 20:40:00,NASDAQ:MSFT,241.11,241.515,241.07,241.5,22295.0
2022-11-28 20:45:00,NASDAQ:MSFT,241.485,241.54,241.11,241.13,16006.0
2022-11-28 20:50:00,NASDAQ:MSFT,241.14,241.81,241.14,241.81,24088.0
2022-11-28 20:55:00,NASDAQ:MSFT,241.84,242.19,241.61,241.71,132594.0
2022-11-29 14:30:00,NASDAQ:MSFT,241.46,242.75,241.38,242.28,28213.0
2022-11-29 14:35:00,NASDAQ:MSFT,242.15,242.15,241.65,241.68,15473.0
2022-11-29 14:40:00,NASDAQ:MSFT,241.68,242.02,240.98,241.04,17213.0
2022-11-29 14:45:00,NASDAQ:MSFT,241.1,241.26,240.83,241.2,14516.0
2022-11-29 14:50:00,NASDAQ:MSFT,241.23,241.23,240.41,240.76,14780.0
2022-11-29 14:55:00,NASDAQ:MSFT,240.81,240.81,240.39,240.58,6529.0
2022-11-29 15:00:00,NASDAQ:MSFT,240.6,241.19,240.6,240.77,10100.0
2022-11-29 15:05:00,NASDAQ:MSFT,240.89,241.32,240.57,240.96,12728.0
2022-11-29 15:10:00,NASDAQ:MSFT,241.04,241.15,240.11,240.32,10436.0
2022-11-29 15:15:00,NASDAQ:MSFT,240.29,240.92,240.29,240.81,6758.0
2022-11-29 15:20:00,NASDAQ:MSFT,240.82,240.91,240.72,240.84,12951.0
2022-11-29 15:25:00,NASDAQ:MSFT,240.94,241.18,240.87,241.18,5399.0
2022-11-29 15:30:00,NASDAQ:MSFT,241.18,241.45,240.8,240.89,10771.0
2022-11-29 15:35:00,NASDAQ:MSFT,240.9,241.05,240.72,240.96,7431.0
